trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
T12A0700,07:00:00,07:00:00,S101,1,,
T12A0700,07:09:00,07:09:00,S102,2,,
T12A0700,07:15:00,07:15:00,S103,3,,
T12A0700,07:30:00,07:30:00,S104,4,,
T12A0700,07:40:00,07:40:00,S105,5,,
T12R0740,07:40:00,07:40:00,S105,1,,
T12R0740,07:45:00,07:45:00,S106,2,,
T12R0740,07:50:00,07:50:00,S107,3,,
T12A0800,08:00:00,08:00:00,S101,1,,
T12A0800,08:09:00,08:09:00,S102,2,,
T12A0800,08:15:00,08:15:00,S103,3,,
T12A0800,08:30:00,08:30:00,S104,4,,
T12A0800,08:40:00,08:40:00,S105,5,,
T12R0840,08:40:00,08:40:00,S105,1,,
T12R0840,08:45:00,08:45:00,S106,2,,
T12R0840,08:50:00,08:50:00,S107,3,,
T12A0900,09:00:00,09:00:00,S101,1,,
T12A0900,09:09:00,09:09:00,S102,2,,
T12A0900,09:15:00,09:15:00,S103,3,,
T12A0900,09:30:00,09:30:00,S104,4,,
T12A0900,09:40:00,09:40:00,S105,5,,
T12R0940,09:40:00,09:40:00,S105,1,,
T12R0940,09:45:00,09:45:00,S106,2,,
T12R0940,09:50:00,09:50:00,S107,3,,
T12A1000,10:00:00,10:00:00,S101,1,,
T12A1000,10:09:00,10:09:00,S102,2,,
T12A1000,10:15:00,10:15:00,S103,3,,
T12A1000,10:30:00,10:30:00,S104,4,,
T12A1000,10:40:00,10:40:00,S105,5,,
T12R1040,10:40:00,10:40:00,S105,1,,
T12R1040,10:45:00,10:45:00,S106,2,,
T12R1040,10:50:00,10:50:00,S107,3,,
T12A1100,11:00:00,11:00:00,S101,1,,
T12A1100,11:09:00,11:09:00,S102,2,,
T12A1100,11:15:00,11:15:00,S103,3,,
T12A1100,11:30:00,11:30:00,S104,4,,
T12A1100,11:40:00,11:40:00,S105,5,,
T12R1140,11:40:00,11:40:00,S105,1,,
T12R1140,11:45:00,11:45:00,S106,2,,
T12R1140,11:50:00,11:50:00,S107,3,,
T12A1200,12:00:00,12:00:00,S101,1,,
T12A1200,12:09:00,12:09:00,S102,2,,
T12A1200,12:15:00,12:15:00,S103,3,,
T12A1200,12:30:00,12:30:00,S104,4,,
T12A1200,12:40:00,12:40:00,S105,5,,
T12R1240,12:40:00,12:40:00,S105,1,,
T12R1240,12:45:00,12:45:00,S106,2,,
T12R1240,12:50:00,12:50:00,S107,3,,
T12A1300,13:00:00,13:00:00,S101,1,,
T12A1300,13:09:00,13:09:00,S102,2,,
T12A1300,13:15:00,13:15:00,S103,3,,
T12A1300,13:30:00,13:30:00,S104,4,,
T12A1300,13:40:00,13:40:00,S105,5,,
T12R1340,13:40:00,13:40:00,S105,1,,
T12R1340,13:45:00,13:45:00,S106,2,,
T12R1340,13:50:00,13:50:00,S107,3,,
T12A1400,14:00:00,14:00:00,S101,1,,
T12A1400,14:09:00,14:09:00,S102,2,,
T12A1400,14:15:00,14:15:00,S103,3,,
T12A1400,14:30:00,14:30:00,S104,4,,
T12A1400,14:40:00,14:40:00,S105,5,,
T12R1440,14:40:00,14:40:00,S105,1,,
T12R1440,14:45:00,14:45:00,S106,2,,
T12R1440,14:50:00,14:50:00,S107,3,,
T12A1500,15:00:00,15:00:00,S101,1,,
T12A1500,15:09:00,15:09:00,S102,2,,
T12A1500,15:15:00,15:15:00,S103,3,,
T12A1500,15:30:00,15:30:00,S104,4,,
T12A1500,15:40:00,15:40:00,S105,5,,
T12R1540,15:40:00,15:40:00,S105,1,,
T12R1540,15:45:00,15:45:00,S106,2,,
T12R1540,15:50:00,15:50:00,S107,3,,
T12A1600,16:00:00,16:00:00,S101,1,,
T12A1600,16:09:00,16:09:00,S102,2,,
T12A1600,16:15:00,16:15:00,S103,3,,
T12A1600,16:30:00,16:30:00,S104,4,,
T12A1600,16:40:00,16:40:00,S105,5,,
T12R1640,16:40:00,16:40:00,S105,1,,
T12R1640,16:45:00,16:45:00,S106,2,,
T12R1640,16:50:00,16:50:00,S107,3,,
T12A1700,17:00:00,17:00:00,S101,1,,
T12A1700,17:09:00,17:09:00,S102,2,,
T12A1700,17:15:00,17:15:00,S103,3,,
T12A1700,17:30:00,17:30:00,S104,4,,
T12A1700,17:40:00,17:40:00,S105,5,,
T12R1740,17:40:00,17:40:00,S105,1,,
T12R1740,17:45:00,17:45:00,S106,2,,
T12R1740,17:50:00,17:50:00,S107,3,,
T12A1800,18:00:00,18:00:00,S101,1,,
T12A1800,18:09:00,18:09:00,S102,2,,
T12A1800,18:15:00,18:15:00,S103,3,,
T12A1800,18:30:00,18:30:00,S104,4,,
T12A1800,18:40:00,18:40:00,S105,5,,
T12R1840,18:40:00,18:40:00,S105,1,,
T12R1840,18:45:00,18:45:00,S106,2,,
T12R1840,18:50:00,18:50:00,S107,3,,
T12A1900,19:00:00,19:00:00,S101,1,,
T12A1900,19:09:00,19:09:00,S102,2,,
T12A1900,19:15:00,19:15:00,S103,3,,
T12A1900,19:30:00,19:30:00,S104,4,,
T12A1900,19:40:00,19:40:00,S105,5,,
T12R1940,19:40:00,19:40:00,S105,1,,
T12R1940,19:45:00,19:45:00,S106,2,,
T12R1940,19:50:00,19:50:00,S107,3,,
T12A2000,20:00:00,20:00:00,S101,1,,
T12A2000,20:09:00,20:09:00,S102,2,,
T12A2000,20:15:00,20:15:00,S103,3,,
T12A2000,20:30:00,20:30:00,S104,4,,
T12A2000,20:40:00,20:40:00,S105,5,,
T12R2040,20:40:00,20:40:00,S105,1,,
T12R2040,20:45:00,20:45:00,S106,2,,
T12R2040,20:50:00,20:50:00,S107,3,,
T30C0700,07:00:00,07:00:00,S105,1,,
T30C0700,,,S108,2,,
T30C0700,,,S109,3,,
T30C0700,,,S110,4,,
T30C0700,,,S111,5,,
T30C0700,,,S112,6,,
T30C0700,,,S113,7,,
T30C0700,,,S114,8,,
T30C0700,,,S115,9,,
T30C0700,07:15:00,07:15:00,S116,10,,
T30C0700,,,S117,11,,
T30C0700,,,S118,12,,
T30C0700,,,S119,13,,
T30C0700,07:23:00,07:23:00,S107,14,,
T30C0700,,,S120,15,,
