route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
R12,WH,T12A0700,CityModa,,1,4860691
R12,WH,T12R0740,Borgo Pace,,1,4860692
R12,WH,T12A0800,CityModa,,2,4860691
R12,WH,T12R0840,Borgo Pace,,2,4860692
R12,WH,T12A0900,CityModa,,3,4860691
R12,WH,T12R0940,Borgo Pace,,3,4860692
R12,WH,T12A1000,CityModa,,4,4860691
R12,WH,T12R1040,Borgo Pace,,4,4860692
R12,WH,T12A1100,CityModa,,5,4860691
R12,WH,T12R1140,Borgo Pace,,5,4860692
R12,WH,T12A1200,CityModa,,6,4860691
R12,WH,T12R1240,Borgo Pace,,6,4860692
R12,WH,T12A1300,CityModa,,7,4860691
R12,WH,T12R1340,Borgo Pace,,7,4860692
R12,WH,T12A1400,CityModa,,8,4860691
R12,WH,T12R1440,Borgo Pace,,8,4860692
R12,WH,T12A1500,CityModa,,9,4860691
R12,WH,T12R1540,Borgo Pace,,9,4860692
R12,WH,T12A1600,CityModa,,10,4860691
R12,WH,T12R1640,Borgo Pace,,10,4860692
R12,WH,T12A1700,CityModa,,11,4860691
R12,WH,T12R1740,Borgo Pace,,11,4860692
R12,WH,T12A1800,CityModa,,12,4860691
R12,WH,T12R1840,Borgo Pace,,12,4860692
R12,WH,T12A1900,CityModa,,13,4860691
R12,WH,T12R1940,Borgo Pace,,13,4860692
R12,WH,T12A2000,CityModa,,14,4860691
R12,WH,T12R2040,Borgo Pace,,14,4860692
R30,WW,T30C0700,,,,4549032
R30,WW,T30C0735,,,,4549032
R30,WW,T30C0820,,,,4549032
R30,WW,T30C0900,,,,4549032
R30,WW,T30C0940,,,,4549032
R30,WW,T30C1020,,,,4549032
R30,WW,T30C1100,,,,4549032
R30,WW,T30C1140,,,,4549032
R30,WW,T30C1220,,,,4549032
R30,WW,T30C1300,,,,4549032
R30,WW,T30C1340,,,,4549032
R30,WW,T30C1420,,,,4549032
R30,WW,T30C1500,,,,4549032
R30,WW,T30C1540,,,,4549032
R30,WW,T30C1620,,,,4549032
R30,WW,T30C1700,,,,4549032
R30,WW,T30C1740,,,,4549032
R30,WW,T30C1820,,,,4549032
R30,WW,T30C1900,,,,4549032
R30,WW,T30C1940,,,,4549032
R30,WW,T30C2025,,,,4549032
R21,WW,T21A0700,Viale XXV Luglio,,15,4665910
R21,WW,T21R0700,CityModa,,15,4665996
